<?php
///////////////////////////////
                             //
$mysql_use = "yes"; //"yes"  //
$mhost = "localhost";        //
$muser = "root";             //
$mpass = "";                 //
$mdb = "mysql";              //
                             //
///////////////////////////////

$auth = 0; //Auth on/off == 1/0
$name="1c624810e9c94b1b688e1eb77b5d744d";//login = "hackteach"
$pass="0466beec6714b8236e00f18fe03b4e19";//pass  = "z3ro"


